Scientific_name;Genera_timediv;Log_body_size ;log_lengthsize;Species_richness;log_speciesrich
Mobula thurstoni;NA;7.661195222;5.686975356;11.00;2.397895273
Mustelus ravidus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus mosis;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus lunulatus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus griseus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus mustelus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus californicus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus norrisi;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus albipinnis;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus henlei;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus canis;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus sinusmexicanus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus punctulatus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus lenticulatus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus antarcticus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus stevensi;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus asterias;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus palumbes;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus manazo;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus schmitti;0.17;4.633234792;4.872904621;28.00;3.33220451
Myliobatis tobijei;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis goodei;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis aquila;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis australis;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis californica;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis chilensis;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis freminvillei;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis hamlyni ;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis peruvianus;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis ridens;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis longirostris;393;6.095295633;4.744932128;12.00;2.48490665
Narcine timlei;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine entemedor;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine brunnea;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine westraliensis;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine lasti;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine tasmaniensis;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine atzi;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine insolita;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine maculata;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine nelsoni ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine bancroftii;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine brasiliensis;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine ornata;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine rierai;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine vermiculatus ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine leoparda ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine lingula ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine oculifera ;NA;2.280112237;3.583518938;21.00;3.044522438
Narke japonica;NA;NA;3.465735903;3.00;1.098612289
Narke capensis;NA;NA;3.465735903;3.00;1.098612289
Narke dipterygia;NA;NA;3.465735903;3.00;1.098612289
Nasolamia velox;0.22;NA;5.010635294;1.00;0
Nebrius ferrugineus;NA;NA;5.768320996;1.00;0
Negaprion brevirostris;0.37;6.23495524;5.886104031;2.00;0.693147181
Negaprion acutidens;0.37;6.23495524;5.886104031;2.00;0.693147181
Neoharriotta pinnata;NA;NA;4.86753445;1.00;0
Neoraja caerulea;NA;NA;3.445214267;5.00;1.609437912
Neoraja iberica;NA;NA;3.445214267;5.00;1.609437912
Neotrygon kuhlii;NA;NA;4.051784948;8.00;2.079441542
Neotrygon annotata;NA;NA;4.051784948;8.00;2.079441542
Notoraja azurea;NA;NA;4.166665224;12.00;2.48490665
Notorynchus cepedianus;NA;5.876801639;5.703782475;1.00;0
Odontaspis ferox;10.7;6.561690053;6.012491914;2.00;0.693147181
Odontaspis noronhai;10.7;6.561690053;6.012491914;2.00;0.693147181
Okamejei meerdervoortii;NA;NA;3.526360525;13.00;2.564949357
Okamejei hollandi;NA;NA;3.526360525;13.00;2.564949357
Okamejei arafurensis;NA;NA;3.526360525;13.00;2.564949357
Okamejei cairae ;NA;NA;3.526360525;13.00;2.564949357
Okamejei heemstrai ;NA;NA;3.526360525;13.00;2.564949357
Okamejei leptoura;NA;NA;3.526360525;13.00;2.564949357
Okamejei ornata ;NA;NA;3.526360525;13.00;2.564949357
Okamejei pita ;NA;NA;3.526360525;13.00;2.564949357
Okamejei schmidti;NA;NA;3.526360525;13.00;2.564949357
Orectolobus maculatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus leptolineatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus japonicus;246;NA;5.007965066;10.00;2.302585093
Orectolobus parvimaculatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus hutchinsi;246;NA;5.007965066;10.00;2.302585093
Orectolobus ornatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus wardi;246;NA;5.007965066;10.00;2.302585093
Orectolobus floridus;246;NA;5.007965066;10.00;2.302585093
Oxynotus paradoxus;NA;NA;4.532599493;5.00;1.609437912
Oxynotus centrina;NA;NA;4.532599493;5.00;1.609437912
